time:417096, score:-719.000000, speed:-1.091595
time:418110, score:-721.000000, speed:-1.190358
time:419115, score:-724.000000, speed:-1.290707
time:420122, score:-726.000000, speed:-1.390821
time:421128, score:-729.000000, speed:-1.689189
time:422137, score:-731.000000, speed:-1.787488
time:423144, score:-731.000000, speed:-1.588405
time:424150, score:-731.000000, speed:-1.390959
time:425161, score:-732.000000, speed:-1.489129
time:426172, score:-735.000000, speed:-1.686006
time:427180, score:-735.000000, speed:-1.586672
time:428189, score:-738.000000, speed:-1.686675
time:429202, score:-740.000000, speed:-1.586357
time:430211, score:-743.000000, speed:-1.684836
time:431222, score:-742.000000, speed:-1.287766
time:432224, score:-743.000000, speed:-1.189532
time:433235, score:-744.000000, speed:-1.288277
time:434246, score:-747.000000, speed:-1.584786
time:435259, score:-748.000000, speed:-1.584472
time:436266, score:-750.000000, speed:-1.486031
time:437271, score:-751.000000, speed:-1.585728
time:438280, score:-753.000000, speed:-1.486473
time:439282, score:-755.000000, speed:-1.487948
time:440286, score:-758.000000, speed:-1.488834
time:441287, score:-758.000000, speed:-1.589667
time:442289, score:-761.000000, speed:-1.788376
time:443301, score:-763.000000, speed:-1.887730
time:444302, score:-766.000000, speed:-1.889419
time:445306, score:-766.000000, speed:-1.791580
time:446317, score:-768.000000, speed:-1.790867
time:447327, score:-770.000000, speed:-1.889231
time:448336, score:-771.000000, speed:-1.789976
time:449343, score:-773.000000, speed:-1.789087
time:450353, score:-776.000000, speed:-1.788198
time:451360, score:-778.000000, speed:-1.985506
time:452366, score:-779.000000, speed:-1.786246
time:453379, score:-781.000000, speed:-1.786069
time:454387, score:-784.000000, speed:-1.785006
time:455392, score:-784.000000, speed:-1.784829
time:456398, score:-786.000000, speed:-1.785537
time:457401, score:-787.000000, speed:-1.687512
time:458407, score:-790.000000, speed:-1.886605
time:459415, score:-792.000000, speed:-1.886418
time:460418, score:-795.000000, speed:-1.887542
time:461425, score:-797.000000, speed:-1.887730
time:462435, score:-798.000000, speed:-1.886980
time:463446, score:-798.000000, speed:-1.688686
time:464458, score:-799.000000, speed:-1.489425
time:465459, score:-801.000000, speed:-1.688518
time:466473, score:-802.000000, speed:-1.588089
time:467483, score:-802.000000, speed:-1.487800
time:468484, score:-803.000000, speed:-1.290066
time:469488, score:-803.000000, speed:-1.092028
time:470493, score:-806.000000, speed:-1.091811
time:471500, score:-808.000000, speed:-1.091920
time:472505, score:-811.000000, speed:-1.291091
time:473513, score:-811.000000, speed:-1.291348
time:474515, score:-814.000000, speed:-1.491350
time:475521, score:-814.000000, speed:-1.291990
time:476525, score:-813.000000, speed:-1.094310
time:477527, score:-815.000000, speed:-1.294305
time:478531, score:-816.000000, speed:-1.293919
time:479540, score:-819.000000, speed:-1.591723
time:480547, score:-821.000000, speed:-1.491944
time:481559, score:-822.000000, speed:-1.391650
time:482570, score:-824.000000, speed:-1.291476
time:483571, score:-826.000000, speed:-1.491202
time:484578, score:-825.000000, speed:-1.093113
time:485579, score:-826.000000, speed:-1.193080
time:486584, score:-828.000000, speed:-1.491350
time:487585, score:-831.000000, speed:-1.590774
time:488587, score:-833.000000, speed:-1.690533
time:489599, score:-836.000000, speed:-1.690197
time:490609, score:-836.000000, speed:-1.490757
time:491612, score:-836.000000, speed:-1.392758
time:492614, score:-837.000000, speed:-1.294434
time:493627, score:-840.000000, speed:-1.392204
time:494630, score:-842.000000, speed:-1.691206
time:495638, score:-845.000000, speed:-1.888856
time:496651, score:-847.000000, speed:-1.887167
time:497657, score:-848.000000, speed:-1.688015
time:498669, score:-851.000000, speed:-1.785537
time:499669, score:-853.000000, speed:-1.688015
time:500678, score:-856.000000, speed:-1.986295
time:501683, score:-858.000000, speed:-2.184273
time:502694, score:-861.000000, speed:-2.380716
time:503696, score:-863.000000, speed:-2.284239
time:504697, score:-866.000000, speed:-2.384027
time:505711, score:-868.000000, speed:-2.283558
time:506721, score:-869.000000, speed:-2.184707
time:507722, score:-871.000000, speed:-2.284920
time:508725, score:-874.000000, speed:-2.286964
time:509738, score:-876.000000, speed:-2.284239
time:510743, score:-877.000000, speed:-2.086645
time:511755, score:-877.000000, speed:-1.886418
time:512760, score:-878.000000, speed:-1.688854
time:513763, score:-878.000000, speed:-1.490017
time:514768, score:-879.000000, speed:-1.290835
time:515774, score:-881.000000, speed:-1.291733
time:516778, score:-880.000000, speed:-1.093766
time:517791, score:-882.000000, speed:-1.092462
time:518795, score:-879.000000, speed:-0.496524
time:519802, score:-880.000000, speed:-0.397456
time:520806, score:-882.000000, speed:-0.496870
time:521808, score:-885.000000, speed:-0.795782
time:522810, score:-885.000000, speed:-0.696517
time:523817, score:-888.000000, speed:-0.994629
time:524830, score:-890.000000, speed:-1.093331
time:525835, score:-893.000000, speed:-1.192724
time:526844, score:-893.000000, speed:-1.291476
time:527846, score:-893.000000, speed:-1.093983
time:528860, score:-894.000000, speed:-1.490313
time:529862, score:-896.000000, speed:-1.590457
time:530872, score:-897.000000, speed:-1.490017
time:531877, score:-897.000000, speed:-1.191777
time:532890, score:-897.000000, speed:-1.190476
time:533892, score:-900.000000, speed:-1.191067
time:534901, score:-902.000000, speed:-1.191540
time:535907, score:-905.000000, speed:-1.191422
time:536911, score:-904.000000, speed:-1.092679
time:537912, score:-906.000000, speed:-1.291476
time:538925, score:-908.000000, speed:-1.390959
time:539933, score:-909.000000, speed:-1.290835
time:540943, score:-912.000000, speed:-1.489573
time:541951, score:-912.000000, speed:-1.488982
time:542964, score:-915.000000, speed:-1.786778
time:543974, score:-917.000000, speed:-1.686173
time:544986, score:-918.000000, speed:-1.586357
time:545990, score:-919.000000, speed:-1.388476
time:547001, score:-921.000000, speed:-1.684836
time:548012, score:-922.000000, speed:-1.584158
time:549025, score:-924.000000, speed:-1.584315
time:550033, score:-927.000000, speed:-1.782178
time:551039, score:-929.000000, speed:-1.683668
time:552051, score:-928.000000, speed:-1.584158
time:553052, score:-930.000000, speed:-1.486915
time:554054, score:-932.000000, speed:-1.488095
time:555060, score:-933.000000, speed:-1.488982
time:556070, score:-936.000000, speed:-1.686675
time:557072, score:-938.000000, speed:-1.688015
time:558078, score:-940.000000, speed:-1.788376
time:559090, score:-943.000000, speed:-1.887542
time:560103, score:-941.000000, speed:-1.390268
time:561111, score:-944.000000, speed:-1.489277
time:562115, score:-946.000000, speed:-1.788553
time:563127, score:-947.000000, speed:-1.687345
time:564132, score:-947.000000, speed:-1.488538
time:565132, score:-946.000000, speed:-1.290707
time:566136, score:-949.000000, speed:-1.291476
